feature,importance,config
gradient_gldm_LargeDependenceEmphasis,0.0,radiomics3d_plus_simple
exponential_firstorder_Maximum,0.0,radiomics3d_plus_simple
lbp-3D-m1_gldm_LargeDependenceEmphasis,0.0,radiomics3d_plus_simple
log-sigma-4-0-mm-3D_gldm_LargeDependenceEmphasis,0.0,radiomics3d_plus_simple
wavelet-HLL_firstorder_InterquartileRange,0.0,radiomics3d_plus_simple
wavelet-HLL_firstorder_10Percentile,0.0,radiomics3d_plus_simple
square_glszm_SizeZoneNonUniformity,0.0,radiomics3d_plus_simple
wavelet-HLL_firstorder_90Percentile,0.0,radiomics3d_plus_simple
gradient_gldm_SmallDependenceHighGrayLevelEmphasis,0.0,radiomics3d_plus_simple
wavelet-HLL_gldm_GrayLevelNonUniformity,0.0,radiomics3d_plus_simple
square_firstorder_Kurtosis,0.0,radiomics3d_plus_simple
lbp-3D-k_glszm_GrayLevelNonUniformity,0.0,radiomics3d_plus_simple
wavelet-HHL_gldm_LargeDependenceEmphasis,0.0,radiomics3d_plus_simple
gradient_glszm_SmallAreaHighGrayLevelEmphasis,0.0,radiomics3d_plus_simple
log-sigma-4-0-mm-3D_glszm_SizeZoneNonUniformity,0.0,radiomics3d_plus_simple
wavelet-LLH_firstorder_RootMeanSquared,0.0,radiomics3d_plus_simple
original_firstorder_Minimum,0.0,radiomics3d_plus_simple
lbp-3D-m1_firstorder_10Percentile,0.0,radiomics3d_plus_simple
wavelet-HLL_glcm_DifferenceAverage,0.0,radiomics3d_plus_simple
