feature,mean_abs_shap_all,mean_abs_shap_test,mean_abs_shap_class_1,mean_abs_shap_class_2,mean_abs_shap_class_3,mean_abs_shap_class_4,mean_abs_shap_class_5,importance,importance_rank,feature_class,shap_rank
lbp-3D-k_glszm_GrayLevelNonUniformity,0.012255282605279782,0.012002392832821238,0.023770879174993948,0.0013478221498206273,0.005300567149769372,0.025035805024792055,0.005821339527022408,0.4051914277777492,68,glszm,77
exponential_glrlm_LongRunLowGrayLevelEmphasis,0.012067023021953527,0.012115287742924911,0.01679366825053882,0.005428873077054062,0.012861689929221768,0.01689518132952609,0.008355702523427794,0.2618416265241265,100,glrlm,78
gradient_gldm_DependenceNonUniformityNormalized,0.012008776851820968,0.011975331115973858,0.007932307967523254,0.010004370101510196,0.01867566839142165,0.0038919281014862007,0.019539609697163965,0.2906050968071567,93,gldm,79
log-sigma-3-0-mm-3D_glcm_ClusterShade,0.011679110023698796,0.011730797523201265,0.015586988501492382,0.020083493189465146,0.0028397455985809694,0.010966259731162773,0.008919063097792418,0.2998557207433538,90,glcm,80
wavelet-HHH_glcm_ClusterProminence,0.011525252028274906,0.01242735830284385,0.024251605134738594,0.005167282719281619,0.009663247909163506,0.012433316461998436,0.006110807916192921,0.3332376251353098,85,glcm,81
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.011415217271292787,0.011969104211538994,0.005042155992984914,0.018989520536993657,0.00609292168964848,0.019760646107284407,0.0071908420295523695,0.25030164161981455,102,glszm,82
lbp-3D-m2_glrlm_LongRunEmphasis,0.011284375198385089,0.011232820047220808,0.027308863393756194,0.0029991325505090215,0.01700284217550273,0.0071405323983199384,0.001970505473837495,0.3387703367441302,83,glrlm,83
wavelet-LLH_firstorder_RootMeanSquared,0.011233725828888269,0.011368338614625053,0.015098605636812567,0.009873352583160598,0.007657383497028902,0.015519933092906222,0.008019354334533678,0.24645721864173187,103,firstorder,84
lbp-3D-m1_glszm_HighGrayLevelZoneEmphasis,0.010919033876166481,0.010517037945120149,0.010117515029570246,0.017416071423076062,0.009881513267340379,0.003849978931955608,0.013330090728890128,0.236397555755248,106,glszm,85
lbp-3D-m2_firstorder_Median,0.010914154661593598,0.01054682461104478,0.012958047406184958,0.010795385182695558,0.0036222067557283174,0.007739736644361862,0.019455397318997335,0.30818305343417607,88,firstorder,86
wavelet-LLL_glcm_MaximumProbability,0.010788642882185277,0.010757369004622305,0.013163349953871587,0.013844201410249493,0.0024805464438046438,0.0012126721110102762,0.02324244449199151,0.28935421232872066,94,glcm,87
logarithm_glcm_MaximumProbability,0.010763357899885697,0.01129808692563827,0.010504327505348089,0.010800346289644328,0.006006662689551061,0.013953052942305916,0.01255240007257981,0.2261228084898319,108,glcm,88
wavelet-LLL_firstorder_10Percentile,0.010689522456951645,0.01071494082116424,0.0023821167755610517,0.02008253363022874,0.004259155736588995,0.024129991169387143,0.002593814972992168,0.26962951634429694,99,firstorder,89
gradient_glcm_DifferenceEntropy,0.01065635739582515,0.010856443484420823,0.008796776068780966,0.010163911371700578,0.016476982117862582,0.012485414915561778,0.005358702505219581,0.1968118436316802,115,glcm,90
square_firstorder_10Percentile,0.010637362795949467,0.01038881250477442,0.012606593023674863,0.007879749305866513,0.006107064660332809,0.016810704759053312,0.009782702230820648,0.1247714288623242,143,firstorder,91
original_glcm_DifferenceEntropy,0.010632532777671067,0.010418426159449934,0.016074588680833172,0.008171722389731677,0.004824791951104023,0.01668016526255424,0.0074113956041327745,0.3399992685779147,82,glcm,92
lbp-3D-m1_firstorder_10Percentile,0.01047216074083041,0.009936148576275452,0.00800989103310789,0.010130129715532715,0.008040381103434809,0.0019711266884804846,0.024209275163595424,0.3837141104800351,73,firstorder,93
lbp-3D-k_glcm_ClusterShade,0.010417220806990793,0.01063136171465366,0.009516588774085344,0.004171688178939578,0.01613088425380142,0.020942012223545615,0.0013249306045814268,0.21263132338564755,113,glcm,94
lbp-3D-m1_glcm_JointEntropy,0.01012504221747609,0.010427744086105405,0.005265628661585596,0.007464507603801818,0.01786455471506557,0.005428387498713522,0.01460213260821506,0.1959056901194232,117,glcm,95
gradient_glszm_SizeZoneNonUniformityNormalized,0.010119855029478552,0.010002267983096344,0.01036572112078095,0.013185494018724863,0.0047832937010208925,0.01260471726973099,0.009660049037135106,0.2377150621153913,104,glszm,96
gradient_gldm_LargeDependenceEmphasis,0.009805289298575917,0.00952856404499176,0.006447826224909727,0.008676307124553983,0.012847984868107159,0.0023588273570779848,0.018695500918231314,0.38563865713655454,71,gldm,97
wavelet-LLH_firstorder_10Percentile,0.009759749186388597,0.010007113616671236,0.011611876595927976,0.005894732506192628,0.006892763863850615,0.00924158378156108,0.015157789184410377,0.1838758437298106,122,firstorder,98
exponential_glrlm_RunLengthNonUniformityNormalized,0.009750192315628625,0.009874741794303506,0.01433857370660732,0.006281960678323044,0.002657291920220579,0.001194757320106094,0.02427837795288582,0.3058430247289213,89,glrlm,99
