feature,feature_class,n,spearman_rho_vs_grade,spearman_p,abs_rho,bonferroni_alpha,significant_bonferroni,importance,importance_rank
logarithm_glcm_ClusterShade,glcm,630,-0.4052765324026362,2.652975504283546e-26,0.4052765324026362,9.671179883945843e-05,True,0.5677724250853378,52
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,630,0.40370040897295745,4.2981675594586187e-26,0.40370040897295745,9.671179883945843e-05,True,0.0,483
wavelet-LLL_glcm_Idn,glcm,630,-0.39849903323622066,2.0744883080461217e-25,0.39849903323622066,9.671179883945843e-05,True,0.0,517
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,glszm,630,-0.39726444804419436,3.0019589287386183e-25,0.39726444804419436,9.671179883945843e-05,True,0.18356233988507503,123
exponential_gldm_DependenceEntropy,gldm,630,-0.3967106267111584,3.541450281375747e-25,0.3967106267111584,9.671179883945843e-05,True,0.0,296
exponential_glrlm_RunEntropy,glrlm,630,-0.39317342978398545,1.0102285419507251e-24,0.39317342978398545,9.671179883945843e-05,True,0.0,341
square_glcm_InverseVariance,glcm,630,0.39267988729792763,1.1681590393538602e-24,0.39267988729792763,9.671179883945843e-05,True,0.0,420
original_glszm_SizeZoneNonUniformity,glszm,630,-0.39228174023483964,1.3131479535512387e-24,0.39228174023483964,9.671179883945843e-05,True,0.0,440
wavelet-HLL_gldm_GrayLevelNonUniformity,gldm,630,0.3922799806354699,1.3138266537022677e-24,0.3922799806354699,9.671179883945843e-05,True,0.0,358
logarithm_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,630,0.390758052866377,2.051767489623487e-24,0.390758052866377,9.671179883945843e-05,True,0.09155361710966266,167
wavelet-LLL_glcm_MaximumProbability,glcm,630,0.3907085578498216,2.081646553295288e-24,0.3907085578498216,9.671179883945843e-05,True,0.28935421232872066,94
wavelet-LLH_glcm_Correlation,glcm,630,-0.38940871665831434,3.0403337648250316e-24,0.38940871665831434,9.671179883945843e-05,True,0.0,406
wavelet-LLL_gldm_DependenceNonUniformityNormalized,gldm,630,-0.3890879416932241,3.337392496614175e-24,0.3890879416932241,9.671179883945843e-05,True,0.08793717000819784,169
gradient_firstorder_Minimum,firstorder,630,-0.38599650156065546,8.152811445910369e-24,0.38599650156065546,9.671179883945843e-05,True,0.0021430030869406718,221
log-sigma-4-0-mm-3D_gldm_LargeDependenceEmphasis,gldm,630,0.38535741506959226,9.794527857206888e-24,0.38535741506959226,9.671179883945843e-05,True,0.04094558922761269,195
square_glcm_Imc2,glcm,630,-0.38326796622951387,1.7793313159635597e-23,0.38326796622951387,9.671179883945843e-05,True,0.0,375
gradient_glcm_DifferenceEntropy,glcm,630,0.3822709520895265,2.362194406904856e-23,0.3822709520895265,9.671179883945843e-05,True,0.1968118436316802,115
log-sigma-4-0-mm-3D_glcm_Idm,glcm,630,0.3808086747390652,3.573016828310284e-23,0.3808086747390652,9.671179883945843e-05,True,0.0,404
wavelet-HHH_glcm_ClusterProminence,glcm,630,0.380175721708662,4.271159401219898e-23,0.380175721708662,9.671179883945843e-05,True,0.3332376251353098,85
wavelet-LHL_firstorder_Kurtosis,firstorder,630,0.378562169086677,6.720046480040947e-23,0.378562169086677,9.671179883945843e-05,True,0.0,317
wavelet-HLH_glcm_ClusterProminence,glcm,630,0.3761473954602809,1.3179018704516819e-22,0.3761473954602809,9.671179883945843e-05,True,0.03297093184744949,199
log-sigma-3-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,630,0.37587955929908373,1.4196331046325577e-22,0.37587955929908373,9.671179883945843e-05,True,0.0,470
wavelet-HHH_firstorder_Variance,firstorder,630,0.37542774445522087,1.6091011676868873e-22,0.37542774445522087,9.671179883945843e-05,True,0.12048366916605105,145
wavelet-HHH_firstorder_Maximum,firstorder,630,0.3738184651459908,2.5100235526432686e-22,0.3738184651459908,9.671179883945843e-05,True,0.0,393
wavelet-HLH_glszm_LowGrayLevelZoneEmphasis,glszm,630,-0.37336840990149756,2.84109404486388e-22,0.37336840990149756,9.671179883945843e-05,True,0.08454514555703649,171
lbp-3D-m1_glszm_LargeAreaHighGrayLevelEmphasis,glszm,630,0.3717458833227273,4.433759267251509e-22,0.3717458833227273,9.671179883945843e-05,True,0.0,488
lbp-3D-m1_firstorder_90Percentile,firstorder,630,-0.37101492595525637,5.413666836881316e-22,0.37101492595525637,9.671179883945843e-05,True,0.0,287
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,glrlm,630,0.3709638419514455,5.48963862123162e-22,0.3709638419514455,9.671179883945843e-05,True,0.005003979285043072,217
gradient_glszm_ZonePercentage,glszm,630,0.365445813450349,2.4375920917856205e-21,0.365445813450349,9.671179883945843e-05,True,0.0,415
wavelet-HLL_glszm_GrayLevelNonUniformity,glszm,630,0.362746773458643,5.001379793466338e-21,0.362746773458643,9.671179883945843e-05,True,0.0,516
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,glszm,630,-0.3619605752680701,6.158173765439132e-21,0.3619605752680701,9.671179883945843e-05,True,0.0,468
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,glrlm,630,0.35979596639777306,1.08880242880564e-20,0.35979596639777306,9.671179883945843e-05,True,0.1334895166150717,139
lbp-3D-m2_firstorder_Maximum,firstorder,630,0.359688678731364,1.1198681857309471e-20,0.359688678731364,9.671179883945843e-05,True,0.5740198091034052,50
original_shape_Elongation,shape,630,0.35925496500300186,1.2546152227232107e-20,0.35925496500300186,9.671179883945843e-05,True,0.13771871953201323,137
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,glszm,630,-0.35901302008967256,1.3366069479081618e-20,0.35901302008967256,9.671179883945843e-05,True,0.0,249
wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,glszm,630,0.3582389891935939,1.636069256283809e-20,0.3582389891935939,9.671179883945843e-05,True,0.0,428
square_glcm_ClusterProminence,glcm,630,-0.3574677901974984,2.000041375969088e-20,0.3574677901974984,9.671179883945843e-05,True,0.0,228
square_glrlm_RunLengthNonUniformity,glrlm,630,0.35744961604972314,2.0095181975847754e-20,0.35744961604972314,9.671179883945843e-05,True,0.0,449
wavelet-HLL_glcm_Imc2,glcm,630,-0.3566151134800915,2.495831449597931e-20,0.3566151134800915,9.671179883945843e-05,True,0.0,252
logarithm_firstorder_Minimum,firstorder,630,0.35572857704338534,3.1398003812991375e-20,0.35572857704338534,9.671179883945843e-05,True,0.0,447
wavelet-HLL_firstorder_Kurtosis,firstorder,630,0.35469639605313846,4.0979841544307517e-20,0.35469639605313846,9.671179883945843e-05,True,0.0,350
lbp-3D-k_gldm_DependenceNonUniformityNormalized,gldm,630,0.35374083304687365,5.2393088178348276e-20,0.35374083304687365,9.671179883945843e-05,True,1.6048190390063684,11
log-sigma-3-0-mm-3D_firstorder_Skewness,firstorder,630,0.3535407414614086,5.515328441869893e-20,0.3535407414614086,9.671179883945843e-05,True,0.0,329
log-sigma-5-0-mm-3D_gldm_DependenceVariance,gldm,630,0.3532750670937228,5.904082869777745e-20,0.3532750670937228,9.671179883945843e-05,True,0.0,505
